label,intensidade,simetria
5,13.768007202881153,17.831132452981194
0,15.553721488595437,20.588235294117645
4,9.725390156062424,14.729891956782712
1,8.57092837134854,14.772909163665465
9,11.611644657863145,14.32172869147659
2,14.80642256902761,18.416366546618647
1,8.826530612244898,8.123249299719888
3,17.940676270508206,19.05262104841937
1,5.439175670268107,4.963985594237695
4,10.956382553021209,14.662865146058424
3,14.279711884753901,11.424569827931172
5,7.127851140456183,12.048819527811125
3,17.88765506202481,20.77831132452981
6,14.22719087635054,15.53921568627451
1,5.813325330132053,2.807122849139656
7,12.653061224489795,17.28891556622649
2,12.322428971588636,15.106042416966787
8,13.55842336934774,16.353541416566628
6,6.7972188875550215,9.782913165266107
9,8.872549019607844,11.777711084433772
4,17.08733493397359,16.133453381352542
0,17.723589435774308,21.543617446978793
9,7.828631452581032,11.10344137655062
1,8.291816726690676,14.17266906762705
1,10.988395358143258,13.406362545018007
2,20.398659463785513,15.432172869147658
4,6.792216886754702,8.232292917166866
3,23.065226090436177,19.10964385754302
2,20.842336934773908,21.581632653061224
7,7.875650260104042,10.854341736694678
3,12.756102440976392,16.255502200880354
8,16.289015606242497,23.508403361344538
6,8.794017607042818,12.309923969587835
9,10.591236494597839,15.693277310924369
0,18.260804321728692,19.496798719487796
5,8.166266506602641,12.694077631052423
6,15.939875950380152,13.289315726290516
0,18.640456182472988,20.36014405762305
7,10.974889955982393,13.734493797519006
6,13.445378151260504,11.618647458983594
1,6.850240096038415,6.275510204081633
8,14.158163265306122,13.73549419767907
7,6.3200280112044815,8.512404961984794
9,9.005602240896359,11.334533813525411
3,8.600440176070428,12.172869147659064
9,12.083833533413365,13.805522208883552
8,11.59563825530212,12.18187274909964
5,11.229991996798718,17.92717086834734
9,8.596438575430172,12.794117647058822
3,16.487595038015208,18.14625850340136
3,9.379251700680271,9.716886754701882
0,22.78061224489796,20.813325330132052
7,13.97859143657463,15.284113645458183
4,8.405362144857943,10.026010404161664
9,11.799719887955181,13.762505002000799
8,16.189975990396157,21.030412164865947
0,20.95438175270108,22.984193677470987
9,10.035514205682274,12.00080032012805
4,16.983293317326932,13.144257703081234
1,8.42236894757903,14.191676670668269
4,14.73389355742297,10.64125650260104
4,9.072629051620648,10.354141656662664
6,15.162064825930372,14.157663065226089
0,23.131752701080433,25.055022008803522
4,13.140256102440976,18.738495398159262
5,8.298819527811125,12.265906362545017
6,13.494897959183675,14.920968387354941
1,7.610044017607043,9.544817927170868
0,12.3609443777511,12.553021208483392
0,21.144957983193276,14.267707082833134
1,11.0484193677471,7.716086434573829
7,10.207082833133253,15.051020408163266
1,5.379151660664266,3.5774309723889557
6,13.060724289715886,14.183673469387756
3,13.07873149259704,14.14965986394558
0,17.024309723889555,20.404161664665864
2,13.146758703481392,15.439175670268106
1,8.484893957583033,13.919567827130852
1,9.869447779111646,14.56782713085234
7,11.668667466986795,16.183473389355743
9,13.094237695078032,12.539015606242495
0,18.483393357342937,20.762304921968788
2,20.09953981592637,13.636454581832732
6,13.401360544217686,17.352941176470587
7,9.305722288915566,12.501000400160065
8,13.032212885154063,17.74909963985594
3,10.920368147258904,18.191276510604244
9,13.967587034813924,14.35674269707883
